Vehicle full name,Manufacturing,Model,Top speed (km/hr),Price (INR),Fuel Type,Wheelers type,Battery capacity [kWh],Full charging time (HR),Kerb weight (KG),Range (km/hr),Fast Charging, Drive Type, Number of Seats,boot space (L), Number of Airbags,Type of brakes,Max Torque (N-M),Type of Vehicle
Revolt RV400,Revolt Motors,RV400,85,134000,Electric,Two wheeler,4,4.5,108,150,YES,Belt Drive,2,NA,NA,Disc,170,Motor cycles
Revolt RV300,Revolt Motors,RV300,65,"94,999",Electric,Two wheeler,2.7,4.2,101,180,YES,Hub Drive,2,NA,NA,Disc,,Motor cycles
Tork Motors(Kratos ),Tork Motors,Kratos,100,192499,Electric,Two wheeler,4,5,,180,NO,,2,NA,NA,Disc,28,Motor cycles
Tork Motors(Kratos R),Tork Motors,Kratos R,105,207499,Electric,Two wheeler,4,5,,180,YES,,2,NA,NA,Disc,38,Motor cycles
Oben Rorr,Kabira Mobility,Oben Rorr,100,102999,Electric,Two wheeler,4.4,2,110,200,YES,Belt Drive,2,NA,NA,Disc,,Motor cycles
Kabira Mobility KM 3000,Kabira Mobility,KM 3000,120,127000,Electric,Two wheeler,4,6.5,112,120,YES,,2,NA,NA,Disc,,Motor cycles
Kabira Mobility KM 4000,Kabira Mobility KM 4000,KM 4000,150,137000,Electric,Two wheeler,4.4,6.5,,150,YES,Hub motor,2,NA,NA,Disc,,Motor cycles
SVM Prana Elite,SVM Prana, Elite,123,300000,Electric,Two wheeler,7.2,6.5,165,225,YES,Hub motor,2,NA,NA,Disc,35,Motor cycles
SVM Prana Grand,SVM Prana, Grand,123,225000,Electric,Two wheeler,4.32,4.5,165,126,YES,,2,NA,NA,Disc,39,Motor cycles
Earth Energy EV Evolve R,Earth Energy , EV Evolve R,110,142000,Electric,Two wheeler,1.38,2.5,110,100,YES,,2,NA,NA,Disc,54,Motor cycles
Earth Energy EV Glyde Plus, Earth Energy, EV Glyde Plus,90,"95,000",Electric,Two wheeler,0.6,,,100,YES,,2,NA,NA,Disc,26,Motor cycles
Ultraviolette F77,Ultraviolette Automotive,F77,140,350000,Electric,Two wheeler,4.2,5,158,150,YES,,2,NA,NA,Disc,90,Motor cycles
Emflux Emflux One,Emflux Motors,Emflux One,200,550000,Electric,Two wheeler,9.7,3,169,200,YES,Chain Drive,2,NA,NA,Disc,84,Motor cycles
Ather 450X,Ather Energy,Ather 450X,80,140000,Electric,Two wheeler,2.9,5.45,,116,YES,Hub Motor,2,NA,NA,Disc,26,Scooters
Ather 450,Ather Energy,Ather 450,80,135000,Electric,Two wheeler,2.4,4.18,108,70,YES,Hub Motor.,2,NA,NA,Disc,22,Scooters
Bajaj Chetak,Bajaj ,Bajaj Chetak,63,148000,Electric,Two wheeler,,5,132,95,YES,Hub Motor.,2,NA,NA,Disc,16.2,Scooters
Simple One Extra Range,Simple Energy,ESimple One Extra Range,105,109000,Electric,Two wheeler,6.4,5,110,300,YES,Chain Drive,2,NA,NA,Disc,72,Scooters
Simple One STD,Simple Energy,Simple One STD,105,144999,Electric,Two wheeler,4.8,1.5,110,236,YES,Chain Drive,2,NA,NA,Disc,72,Scooters
Simple Energy Mark 2,Simple Energy,Mark 2,100,102000,Electric,Two wheeler,4.8,1,6,260,YES,mid-drive motor,2,NA,NA,Disc,72,Scooters
Hero Electric Photon,Hero Electric, Photon ,45,80790,Electric,Two wheeler,1.44,5,87,108,YES,Hub Motor,2,NA,NA,Disc,,Scooters
